time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2023/12/29/17:12:31.374778,0,1703862751,374112663,world,2.26033878326416,0.7023672461509705,0.8368927836418152,-0.5380483865737915,-0.6806912422180176,0.11621011793613434,-0.48338237404823303
2023/12/29/17:12:31.383786,0,1703862751,383556611,world,2.2603743076324463,0.7024044394493103,0.8369080424308777,-0.537869930267334,-0.6805732250213623,0.11522460728883743,-0.4839829206466675
2023/12/29/17:12:31.383831,0,1703862751,383618719,world,2.260366439819336,0.7023918628692627,0.8369042277336121,-0.537855863571167,-0.6806489825248718,0.11524426192045212,-0.48388728499412537
2023/12/29/17:12:31.393847,0,1703862751,393616519,world,2.260352611541748,0.7023934125900269,0.8368849754333496,-0.538047730922699,-0.6804999709129333,0.11506179720163345,-0.4839269518852234
2023/12/29/17:12:31.393948,0,1703862751,393763021,world,2.2603418827056885,0.7023909687995911,0.8368922472000122,-0.5381952524185181,-0.680547833442688,0.11527363210916519,-0.48364514112472534
2023/12/29/17:12:31.394040,0,1703862751,393893882,world,2.2603774070739746,0.7024102807044983,0.8369024991989136,-0.5378982424736023,-0.6805576682090759,0.11485341191291809,-0.4840615391731262
2023/12/29/17:12:31.403908,0,1703862751,403629403,world,2.2603700160980225,0.7024176716804504,0.836902379989624,-0.5378498435020447,-0.6806126236915588,0.1151861697435379,-0.4839589595794678
2023/12/29/17:12:31.404009,0,1703862751,403719992,world,2.2603495121002197,0.7023940086364746,0.8368833065032959,-0.5379089713096619,-0.68063884973526,0.11517732590436935,-0.48385828733444214
2023/12/29/17:12:31.413828,0,1703862751,413576831,world,2.2603659629821777,0.702436625957489,0.8369198441505432,-0.5376625061035156,-0.6805513501167297,0.11558816581964493,-0.4841572642326355
2023/12/29/17:12:31.413869,0,1703862751,413668595,world,2.2603557109832764,0.7024219036102295,0.8369090557098389,-0.5377236604690552,-0.6806386709213257,0.11590024828910828,-0.4838919937610626
2023/12/29/17:12:31.424434,0,1703862751,423889421,world,2.260354518890381,0.7024322152137756,0.8369084000587463,-0.5376965999603271,-0.6805944442749023,0.11592933535575867,-0.4839772582054138
2023/12/29/17:12:31.424551,0,1703862751,424089645,world,2.260390520095825,0.7024795413017273,0.8369643092155457,-0.5373334288597107,-0.6804642677307129,0.11580328643321991,-0.48459354043006897
2023/12/29/17:12:31.424608,0,1703862751,424218423,world,2.260380744934082,0.7024643421173096,0.8369805812835693,-0.5370604991912842,-0.6805463433265686,0.11640072613954544,-0.48463764786720276
2023/12/29/17:12:31.433787,0,1703862751,433537495,world,2.260373115539551,0.7024753093719482,0.8369776606559753,-0.5372433662414551,-0.6807103753089905,0.1168064996600151,-0.48410657048225403
2023/12/29/17:12:31.433852,0,1703862751,433614873,world,2.260352611541748,0.7024948000907898,0.8369957804679871,-0.5374318361282349,-0.6805013418197632,0.11715461313724518,-0.4841073155403137
2023/12/29/17:12:31.443740,0,1703862751,443575244,world,2.2603821754455566,0.7025221586227417,0.8370397090911865,-0.5368964672088623,-0.6806447505950928,0.11676739901304245,-0.484593003988266
2023/12/29/17:12:31.443825,0,1703862751,443658184,world,2.260380268096924,0.7025032043457031,0.8370153307914734,-0.5369065403938293,-0.6806031465530396,0.11695608496665955,-0.48459482192993164
2023/12/29/17:12:31.443889,0,1703862751,443731138,world,2.260344982147217,0.7025129795074463,0.8370218873023987,-0.5371878147125244,-0.6805388927459717,0.11785536259412766,-0.4841550886631012
2023/12/29/17:12:31.453976,0,1703862751,453744942,world,2.2603793144226074,0.7025110721588135,0.8370600342750549,-0.5364744663238525,-0.6805266737937927,0.11739636957645416,-0.48507407307624817
2023/12/29/17:12:31.454248,0,1703862751,453815721,world,2.2603635787963867,0.7024993300437927,0.8370230197906494,-0.5370245575904846,-0.6805323362350464,0.11752811074256897,-0.48442503809928894
2023/12/29/17:12:31.463749,0,1703862751,463544293,world,2.2603511810302734,0.7025026082992554,0.8370227217674255,-0.53701251745224,-0.6804871559143066,0.11735039949417114,-0.4845448136329651
2023/12/29/17:12:31.463796,0,1703862751,463608003,world,2.260366678237915,0.7024805545806885,0.8370246291160583,-0.5367404818534851,-0.6806349158287048,0.11700001358985901,-0.48472344875335693
2023/12/29/17:12:31.473926,0,1703862751,473708689,world,2.2603635787963867,0.7024771571159363,0.8370203971862793,-0.5369442105293274,-0.6805357336997986,0.11728636175394058,-0.48456788063049316
2023/12/29/17:12:31.474059,0,1703862751,473812204,world,2.2603347301483154,0.7024552226066589,0.8369974493980408,-0.5372569561004639,-0.6805763840675354,0.11763797700405121,-0.48407867550849915
2023/12/29/17:12:31.474162,0,1703862751,473911298,world,2.2603375911712646,0.7024462819099426,0.8369818329811096,-0.53737473487854,-0.6806183457374573,0.11706939339637756,-0.4840266704559326
2023/12/29/17:12:31.483733,0,1703862751,483553704,world,2.2603652477264404,0.7024416923522949,0.8369869589805603,-0.5371191501617432,-0.6805774569511414,0.11648301035165787,-0.484509140253067
2023/12/29/17:12:31.483822,0,1703862751,483633392,world,2.260338544845581,0.7024173736572266,0.8369523882865906,-0.5375704169273376,-0.6806259751319885,0.11633667349815369,-0.4839753806591034
2023/12/29/17:12:31.493997,0,1703862751,493670156,world,2.2603342533111572,0.7023971676826477,0.8369259238243103,-0.537757933139801,-0.6806199550628662,0.11658046394586563,-0.48371678590774536
